Feature Name,Score,Code Description
o16002,-0.05995364889,"DIAG: {'Unspecified maternal hypertension, delivered, with mention of postpartum complication'}"
v892,-0.05991551049,DIAG: {'Person injured in unspecified traffic motor-vehicle accident'}
1sq87lapmn,-0.05991108965,"INT: {'Excision partial, pelvis no tissue used [for closure of surgical defect] using endoprosthesis (to re', 'Excision partial, pelvis using synthetic tissue [e.g. bone cement or paste] using endoprosthesis (to'}"
2qt71ba,-0.05988341129,"INT: {'Biopsy, prostate using endoscopic per orifice approach'}"
m0280,-0.05984927332,"DIAG: {'Other reactive arthropathies, multiple sites'}"
1fu89pz,-0.05984835562,"INT: {'Excision total, thyroid gland open substernal approach using device NEC'}"
c3499,0.05984444775,"DIAG: {'Malignant neoplasm bronchus or lung, unspecified, unspecified side', 'Malignant neoplasm of right bronchus or lung unspecified', 'Malignant neoplasm left bronchus or lung, unspecified'}"
m1020,-0.05983148373,"DIAG: {'Drug-induced gout, multiple sites'}"
r011,-0.05979137298,"DIAG: {'Cardiac murmur, unspecified'}"
1pe59daat,-0.05976480986,"INT: {'Destruction, renal pelvis endoscopic {percutaneous) approach [endoureterotomy] Using electromechanic'}"
1fu87pz,-0.05966857014,"INT: {'Excision partial, thyroid gland open substernal approach using device NEC'}"
s7678,-0.05965414806,DIAG: {'Other and unspecified injury of multiple muscles and tendons at hip and thigh level'}
m202,-0.05964526857,DIAG: {'Hallux rigidus'}
o99009,-0.05963521376,"DIAG: {'Anaemia complicating pregnancy, childbirth and the puerperium, unspecified as to episode of care, or'}"
1se53llslq,-0.05963372151,"INT: {'Implantation of internal device, intervertebral disc using spacer device and bone graft with cement '}"
1ta53lapnn,-0.05963229907,"INT: {'Implantation of internal device, shoulder joint with synthetic material (e.g. bone paste, cement, Dy', 'Implantation of internal device, shoulder joint with synthetic material (e.g. bone paste, cement) du', 'Implantation of internal device, shoulder joint uncemented dual-component prosthetic device [humeral'}"
h832,0.0596241183,DIAG: {'Labyrinthine dysfunction'}
j703,-0.05961263966,DIAG: {'Chronic drug-induced interstitial lung disorders'}
m4696,-0.05959168534,"DIAG: {'Inflammatory spondylopathy, unspecified, lumbar region'}"
1sc89pfnwn,-0.05955291034,"INT: {'Excision total, spinal vertebrae posterior approach [posterolateral approach] with synthetic tissue '}"
s83410,-0.05945273641,"DIAG: {'Sprain and strain of medial collateral ligament of knee, rupture'}"
1sz55jagx,-0.05941931651,"INT: {'Removal of device, soft tissue of the chest and abdomen of device NEC using external approach'}"
y480,-0.05938788661,DIAG: {'Inhaled anaesthetics causing adverse effect in therapeutic use'}
1kr87wm,-0.05938714637,"INT: {'Excision partial, veins of leg NEC without use of tissue open approach with stripping technique'}"
m8598,-0.05937471425,"DIAG: {'Disorder of bone density and structure, unspecified, other site'}"
q383,-0.05935410125,DIAG: {'Other congenital malformations of tongue'}
p599,0.05921412465,"DIAG: {'Neonatal jaundice, unspecified'}"
3vg12va,-0.05920460755,"INT: {'Fluoroscopy, knee joint without contrast'}"
1vq80la,-0.05916609848,"INT: {'Repair, tibia and fibula no tissue used (for repair) no device used'}"
z738,-0.05914338646,DIAG: {'Other problems related to life-management difficulty'}
g243,-0.05912361443,DIAG: {'Spasmodic torticollis'}
1yf80laxxa,-0.05908842812,"INT: {'Repair, skin of face using full-thickness autograft'}"
1md27ja,-0.05907857287,"INT: {'Radiation, lymph node(s), axillary using external beam'}"
1mh27ja,-0.05902083659,"INT: {'Radiation, lymph node(s), pelvic using external beam'}"
b250,-0.05901515517,DIAG: {'Cytomegaloviral pneumonitis'}
1oj76vl,-0.05896957804,"INT: {'Bypass, pancreas open approach using pancreaticogastrostomy diversion'}"
1hz55gpfs,-0.05896334189,"INT: {'Removal of device, heart NEC percutaneous transluminal approach cardioverter/defibrillator [AICD]', 'Removal of device, heart NEC using percutaneous transluminal approach and cardioverter/defibrillator'}"
o36131,-0.05894891104,"DIAG: {'Maternal care for other isoimmunization, third trimester, delivered, with or without mention of ante'}"
m8610,-0.05893889772,"DIAG: {'Other acute osteomyelitis, multiple sites'}"
z720,0.05890406926,"DIAG: {'Personal history of tobacco abuse', 'Drug use', 'Tobacco use'}"
1yw80laxxb,-0.05890082298,"INT: {'Repair, skin of foot using split-thickness autograft'}"
1na87qf,-0.05887755219,"INT: {'Excision partial, esophagus with anastomosis using combined open (cervico)thoracoabdominal approach', 'Excision partial, esophagus with anastomosis using combined open (cervico)thoracoabdominal [e.g. Ivo'}"
1yt80jaff,-0.05887232786,"INT: {'Repair, skin of arm using closure device (e.g. clip, adhesive skin closure [Steri-Strips])'}"
1sz35jad1,-0.05887182832,"INT: {'Pharmacotherapy (local), soft tissue of the chest and abdomen direct instillation [into wound] using'}"
1yr87laxxe,-0.05879416979,"INT: {'Excision partial, skin of axillary region open [excisional] approach using local flap [e.g. rotation'}"
z505,-0.05878453587,DIAG: {'Speech therapy'}
1vc74lanwq,-0.05878120133,"INT: {'Fixation, femur open approach with combined sources of tissue [e.g. graft & cement/paste] using scre'}"
m8996,-0.05877306163,"DIAG: {'Disorder of bone, unspecified, lower leg'}"
n905,-0.05875647342,DIAG: {'Atrophy of vulva'}
1ys14jafj,-0.05873049554,"INT: {'Dressing, skin of abdomen and trunk using occlusive dressing [e.g. hydrocolloid, coal tar, paraffin '}"
1wt79laxxa,-0.05869806096,"INT: {'Repair by increasing size, tendons of ankle and foot using open approach and autograft [e.g. fascia,'}"
1fj91laxxq,-0.05869246316,"INT: {'Excision radical,  tongue with combined sources of tissue [grafts and flaps] using no device'}"
s31101,-0.05868630817,"DIAG: {'Open wound of upper abdominal wall, complicated'}"
f079,-0.0586829871,"DIAG: {'Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunctio'}"
l931,-0.05865566139,DIAG: {'Subacute cutaneous lupus erythematosus'}
1fc80laxxg,0.05865388909,"INT: {'Repair, soft palate using pedicled flap [e.g. pharyngeal flap]'}"
1hp53gpqp,-0.05862371243,"INT: {'Implantation of internal device, ventricle of ventricular assist pump using percutaneous translumina'}"
s7488,-0.05861330593,DIAG: {'Other and unspecified injury of other nerves at hip and thigh level'}
s983,-0.05861274944,DIAG: {'Traumatic amputation of other parts of foot'}
2et70ba,-0.05860451019,"INT: {'Inspection, nose using endoscopic per orifice approach'}"
s8698,-0.05859465006,DIAG: {'Other and unspecified injury of unspecified muscle and tendon at lower leg level'}
a321,-0.05859039282,DIAG: {'Listerial meningitis and meningoencephalitis'}
x51,-0.05857750658,DIAG: {'Travel and motion'}
1ug52wk,-0.05856515882,"INT: {'Drainage, other metacarpophalangeal joint(s) using open incisional approach [e.g. bursotomy]'}"
1pl74laxxa,-0.05852735392,"INT: {'Fixation, bladder neck open (retropubic, perineal) approach using autograft (e.g. fascia lata sling,'}"
y832,0.0584656283,"DIAG: {'Other surgical procedures as the cause of abnormal reaction or later complication, without mention o', 'Surgical operation with anastomosis, bypass or graft as the cause of abnormal reaction or later comp', 'Surgical procedure, unspecified, as the cause of abnormal reaction or later complication, without me', 'Removal of other organ (partial) (total) as the cause of abnormal reaction or later complication, wi', 'Other reconstructive surgery as the cause of abnormal reaction or later complication, without mentio', 'Surgical operation with implant of artificial internal device as the cause of abnormal reaction or l', 'Antineoplastic natural products causing adverse effect in therapeutic use'}"
2ap71sz,-0.05845799572,"INT: {'Biopsy, brain stem using open craniotomy or craniectomy [flap] approach'}"
f440,-0.05842475125,DIAG: {'Dissociative amnesia'}
1tm53lapnn,-0.0584008816,"INT: {'Implantation of internal device, elbow joint with synthetic material (e.g. bone paste, cement)  usin', 'Implantation of internal device, elbow joint uncemented dual-component  prosthetic device [e.g. capi', 'Implantation of internal device, elbow joint with synthetic material (e.g. bone paste, cement, Dynag'}"
1gt52hhtj,-0.05835473872,"INT: {'Drainage, lung NEC using percutaneous transcatheter approach with suction device'}"
1vq35lak8,-0.05833100926,"INT: {'Pharmacotherapy (local), tibia and fibula using open approach and antibacterial agent (e.g gentamyci'}"
1pm57dagx,-0.05832860682,"INT: {'Extraction, bladder using endoscopic (percutaneous) approach (cystostomy) and other device NEC [e.g.'}"
2na71da,-0.05832529211,"INT: {'Biopsy, esophagus using endoscopic [laparoscopic] approach'}"
t286,-0.05827382608,DIAG: {'Corrosion of oesophagus'}
1we91la,-0.0582524782,"INT: {'Excision radical, tarsal bones and intertarsal joints [hindfoot, midfoot] using open approach'}"
1kt51gqgf,-0.05824917541,"INT: {'Occlusion, vessels of the pelvis, perineum and gluteal region percutaneous transluminal approach usi'}"
t730,-0.05822051267,DIAG: {'Effects of hunger'}
2rm71la,-0.05820320846,"INT: {'Biopsy, uterus and surrounding structures using open approach'}"
1ym80laxxe,-0.0581965368,"INT: {'Repair, breast open approach using local flap with no implantation of device'}"
1ax87wkgxn,-0.0581916371,"INT: {'Excision partial, spinal canal and meninges using intradural incision technique [e.g. for meningeal '}"
1yc80la,-0.05817538563,"INT: {'Repair, skin of ear using apposition technique [e.g. suture]'}"
1nf78wj,-0.05815214936,"INT: {'Repair by decreasing size, stomach open approach using vertical (sleeve) gastrectomy technique'}"
o23001,-0.05814928048,"DIAG: {'Infections of kidney in pregnancy, delivered, with or without mention of antepartum condition'}"
o74601,-0.05814170983,"DIAG: {'Other complications of spinal and epidural anaesthesia during labour and delivery, delivered, with o'}"
s27201,-0.05813487943,"DIAG: {'Traumatic haemopneumothorax, with open wound into thoracic cavity'}"
1yy55ladv,-0.05813108536,"INT: {'Removal of internal device, skin of surgically constructed sites of neurostimulator only using open '}"
1pc59hacg,-0.05812682744,"INT: {'Destruction, kidney percutaneous (needle) approach using microwave device'}"
d400,-0.05810733755,DIAG: {'Neoplasm of uncertain or unknown behaviour of prostate'}
j949,-0.05808829069,"DIAG: {'Pleural condition, unspecified'}"
3wa12va,-0.0580860941,"INT: {'Fluoroscopy, ankle joint without contrast'}"
5lc32hai4,-0.05808488498,"INT: {'Suppression, latent labour, percutaneous approach (e.g. intramuscular, intravenous, subcutaneous, in', 'Suppression, latent labour percutaneous approach (e.g. intramuscular, intravenous, subcutaneous, int'}"
1de57catj,-0.05807044276,"INT: {'Extraction, external auditory meatus per orifice approach using suction'}"
1va74lanw,-0.05806550263,"INT: {'Fixation, hip joint open approach fixation device alone using plate, screw'}"
1rn87crak,-0.05806456807,"INT: {'Excision partial, cervix using per orifice [vaginal] approach with incision using loop electrode (LE'}"
m7935,-0.05803707258,"DIAG: {'Panniculitis, unspecified, pelvic region and thigh'}"
k143,-0.0580112781,DIAG: {'Hypertrophy of tongue papillae'}
s52091,-0.05801065927,"DIAG: {'Unspecified fracture of upper end of ulna, open'}"
d037,-0.05800553886,"DIAG: {'Melanoma in situ of lower limb, including hip'}"
p220,-0.05798230329,DIAG: {'Respiratory distress syndrome of newborn'}
x670,-0.0579694644,DIAG: {'Intentional self-poisoning by and exposure to carbon monoxide from combustion engine exhaust'}
2nt71ha,-0.05796313424,"INT: {'Biopsy anus using percutaneous (needle, punch) approach'}"
v580,-0.05795881397,"DIAG: {'Occupant of pick-up truck or van injured in noncollision transport accident, driver, nontraffic acci'}"
k032,-0.05795627454,DIAG: {'Erosion of teeth'}
1zz35ham2,0.05792185808,"INT: {'Pharmacotherapy, total body antineoplastic and immunomodulating agents percutaneous approach [intram'}"
1sc75lnnwk,-0.05791485428,"INT: {'Fusion, spinal vertebrae open combined anterior and posterior approach [e.g. with hemi-epiphysiodesi'}"
1pl54caxxn,-0.05789553377,"INT: {'Management of internal device, bladder neck of synthetic urethral sling (tension free vaginal tape ['}"
q758,-0.05787060566,DIAG: {'Other specified congenital malformations of skull and face bones'}
1vr80laxxa,-0.05786621728,"INT: {'Repair, muscles of lower leg [around knee] using open approach and autograft [e.g. fascia]'}"
o73004,-0.05786554545,"DIAG: {'Retained placenta without haemorrhage, postpartum condition or complication'}"
3je30dc,-0.0578510542,"INT: {'Ultrasound, carotid artery with Doppler'}"
1cp89rzlj,-0.0578451571,"INT: {'Excision total, soft tissue of orbit and eyeball NEC using open approach with insertion of (scleral ', 'Excision total, soft tissue of orbit and eyeball NEC using open approach with insertion of prostheti'}"
s332,-0.05781903886,DIAG: {'Dislocation of sacroiliac and sacrococcygeal joint'}
g8111,-0.05781808955,DIAG: {'Spastic hemiplegia of non-dominant side'}
1sq53lapmq,-0.05779814713,"INT: {'Implantation of internal device, pelvis using combined  sources of tissue [e.g. bone graft, cement/p'}"
w85,-0.05778403106,DIAG: {'Exposure to electric transmission lines'}
1tq58laxxf,-0.05775041869,"INT: {'Procurement, muscles of the forearm [around elbow] free flap using open approach'}"
d044,-0.05770966913,DIAG: {'Carcinoma in situ of skin of scalp and neck'}
z553,0.05766727426,DIAG: {'Underachievement in school'}
a1620,-0.05765079823,"DIAG: {'Tuberculosis of lung, without mention of bacteriological or histological confirmation, with cavitati'}"
1eq52ha,-0.05761575425,"INT: {'Drainage, soft tissue of head and neck using open (incisional) approach', 'Drainage, soft tissue of head and neck using percutaneous (needle) approach'}"
1eg80lanw,-0.05759728463,"INT: {'Repair, multiple bones of mid face region, without cranium involvement open approach using plate, sc'}"
m1127,-0.05758719291,"DIAG: {'Other chondrocalcinosis, ankle and foot'}"
s7408,-0.05755333583,DIAG: {'Other and unspecified injury of sciatic nerve at hip and thigh level'}
1aw72wkgx,-0.05755311243,"INT: {'Release, spinal cord open approach with intradural incision [e.g. untethering with or without (lipo)'}"
s8680,-0.05755253495,DIAG: {'Laceration of other muscles and tendons at lower leg level'}
t941,-0.05755093762,"DIAG: {'Sequelae of injuries, not specified by body region'}"
1wx58laxxk,-0.05754716074,"INT: {'Procurement, bone NEC of deceased donor homograft using open approach'}"
v224,-0.05754433233,"DIAG: {'Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver, traffic acci'}"
1na13ba,-0.0575409858,"INT: {'Control of bleeding, esophagus using endoscopic per orifice approach'}"
o26101,-0.05752473724,"DIAG: {'Low weight gain in pregnancy, delivered, with or without mention of antepartum condition'}"
h031,-0.05748628864,DIAG: {'Involvement of eyelid in other infectious diseases classified elsewhere'}
7sc08pm,-0.0574375222,"INT: {'Other ministration, personal care for assistance in dying'}"
q690,-0.05741833707,DIAG: {'Accessory finger(s)'}
1uc74lanwa,-0.05741303272,"INT: {'Fixation, distal radioulnar joint and carpal joints and bones open approach with bone autograft usin'}"
c866,-0.0574036493,DIAG: {'Primary cutaneous CD30-positive T-cell proliferations'}
1fa52catj,-0.05737013532,"INT: {'Drainage, nasopharynx using per orifice approach and suction'}"
k118,-0.05735799227,DIAG: {'Other diseases of salivary glands'}
t743,-0.05735468675,"DIAG: {'Physical abuse', 'Psychological abuse'}"
m8984,-0.05728515478,"DIAG: {'Other specified disorders of bone, hand'}"
1jt53grlg,-0.05726847841,"INT: {'Implantation of internal device, subclavian vein, of  (venous) access device using percutaneous tran'}"
n602,-0.0572598179,DIAG: {'Fibroadenosis of breast'}
s42391,-0.05725413569,"DIAG: {'Fracture of unspecified part of humerus, open'}"
1pm35cam4,-0.05723833571,"INT: {'Pharmacotherapy (local), bladder per orifice approach using cytotoxic antibiotic or related substanc'}"
1ee91lanwf,-0.05722812265,"INT: {'Excision radical, mandible open approach using plate, screw device (with/without wire/mesh) with fre'}"
m161,-0.0571860093,"DIAG: {'Other primary coxarthrosis', 'Coxarthrosis, unspecified'}"
p962,-0.05715291802,DIAG: {'Withdrawal symptoms from therapeutic use of drugs in newborn'}
3jy10vx,-0.05710611265,"INT: {'Xray, thoracic vessels NEC following intraarterial injection of contrast (with or without fluoroscop'}"
1je57gqoc,-0.05706265647,"INT: {'Extraction, carotid artery percutaneous transluminal approach using atherectomy device with (endovas'}"
b450,-0.05705793145,DIAG: {'Pulmonary cryptococcosis'}
1ym89laxxe,-0.05702412552,"INT: {'Excision total, breast using open approach and local flap'}"
1ym90laxxg,-0.05701383112,"INT: {'Excision total with reconstruction, breast using distant pedicled flap with no implanted device', 'Excision total with reconstruction, breast simple mastectomy with no node dissection using distant p'}"
1uf74hanv,-0.05698402524,"INT: {'Fixation, other metacarpal bones percutaneous approach [e.g. with closed or no reduction] fixation d'}"
o75401,-0.05697916846,"DIAG: {'Other complications of obstetric surgery and procedures, delivered, with or without mention of antep'}"
c218,-0.05696811937,"DIAG: {'Overlapping malignant lesion of rectum, anus and anal canal'}"
1ic80laxxn,-0.05692541717,"INT: {'Repair, thoracic [descending] aorta using open approach with synthetic material [e.g. Teflon felt, D'}"
h102,-0.05691342881,DIAG: {'Other acute conjunctivitis'}
s62410,-0.05688821797,"DIAG: {'Multiple fractures of shaft of other metacarpal bones, closed'}"
5ca89gc,-0.05688585709,"INT: {'Surgical termination of pregnancy, vaginal approach aspiration and curettage'}"
1nk52lats,-0.05687926536,"INT: {'Drainage, small intestine open approach leaving drainage/decompression tube in situ'}"
1il35hhc1,-0.05686706562,"INT: {'Pharmacotherapy (local), vessels of heart percutaneous infusion approach of antithromobtic agent'}"
s688,-0.05685158103,DIAG: {'Traumatic amputation of other parts of wrist and hand'}
s43010,-0.05684377066,"DIAG: {'Posterior dislocation of humerus, closed'}"
c130,-0.05683272029,DIAG: {'Malignant neoplasm of postcricoid region'}
c751,-0.0568321886,DIAG: {'Malignant neoplasm of pituitary gland'}
3pc10vc,-0.05680863422,"INT: {'Xray, kidney following intravenous injection of contrast (with or without fluoroscopy)'}"
1rs80crxxe,-0.05680028298,"INT: {'Repair, vagina per orifice (vaginal) approach with incision using local flap [e.g. Z Y skin plasty]'}"
1sq87laxxn,-0.05679614278,"INT: {'Excision partial, pelvis using synthetic tissue [e.g. bone cement or paste] with no device used'}"
m6581,-0.0567947782,"DIAG: {'Other synovitis and tenosynovitis, shoulder region'}"
q658,-0.05679327726,DIAG: {'Other congenital deformities of hip'}
y539,-0.0567513343,"DIAG: {'Agent primarily affecting the gastrointestinal system, unspecified, causing adverse effect in therap'}"
d373,-0.05672436197,DIAG: {'Neoplasm of uncertain or unknown behaviour of appendix'}
5pc80jr,-0.05671547212,"INT: {'Surgical repair, postpartum, of current obstetric laceration of bladder and urethra'}"
f028,0.05670239587,DIAG: {'Dementia in other specified diseases classified elsewhere'}
1qe53lapx,-0.05667142934,"INT: {'Implantation of internal device, penis of inflatable hydraulic penile prosthesis [e.g. inflatable, a'}"
1nm50canr,-0.05666746692,"INT: {'Dilation, large intestine using per orifice approach and stent insertion'}"
1nk54hats,-0.05659053529,"INT: {'Management of device, small intestine of tube (e.g. drainage, feeding, jejunal)'}"
t3153,-0.05658557545,DIAG: {'Burns involving 50-59% of body surface with 20-29% third degree burns'}
1ye87la,-0.05657919534,"INT: {'Excision partial, lip open [excisional] approach without tissue repair'}"
g802,-0.05657424661,DIAG: {'Spastic  hemiplegic cerebral palsy'}
1tv74hanv,-0.05656865482,"INT: {'Fixation, radius and ulna percutaneous approach [e.g. with closed or no reduction] no tissue used us'}"
y859,-0.05652746272,DIAG: {'Sequelae of other and unspecified transport accidents'}
f301,-0.05650359009,DIAG: {'Mania without psychotic symptoms'}
z354,-0.05645542124,DIAG: {'Supervision of pregnancy with grand multiparity'}
1ke57gq,-0.05644839463,"INT: {'Extraction, abdominal arteries NEC using percutaneous transluminal (arterial) approach'}"
h218,0.05643436727,DIAG: {'Other specified disorders of iris and ciliary body'}
g320,-0.05643150513,DIAG: {'Subacute combined degeneration of spinal cord in diseases classified elsewhere'}
o64301,-0.05642057451,"DIAG: {'Obstructed labour due to brow presentation, delivered, with or without mention of antepartum conditi'}"
1va80da,-0.05640855446,"INT: {'Repair, hip joint endoscopic [arthroscopic] approach using simple apposition technique only [e.g. su'}"
o12101,-0.05638528678,"DIAG: {'Gestational proteinuria, delivered, with or without mention of antepartum condition'}"
1hr87la,-0.05637947964,"INT: {'Excision partial, interventricular septum using open approach without tissue'}"
y454,-0.05635913693,DIAG: {'Antirheumatics causing adverse effect in therapeutic use'}
1yz58laxxa,-0.05635722755,"INT: {'Procurement, skin NEC of full thickness autograft using open approach'}"
y772,0.05635323951,"DIAG: {'Ophthalmic devices associated with adverse incidents, prosthetic and other implants, materials and a'}"
p740,-0.0563436527,DIAG: {'Late metabolic acidosis of newborn'}
1lz38jafp,-0.05632440777,"INT: {'Management of external appliance, circulatory system NEC of intraoperative blood salvage device (cel'}"
l711,-0.05631425326,DIAG: {'Rhinophyma'}
h051,-0.05631390952,DIAG: {'Chronic inflammatory disorders of orbit'}
c311,-0.05629746718,DIAG: {'Malignant neoplasm of ethmoidal sinus'}
1ka87laxxn,-0.05628364623,"INT: {'Excision partial, abdominal aorta using open approach with synthetic material [e.g. Teflon felt, Dac'}"
a78,-0.0562764045,DIAG: {'Q fever'}
v575,-0.05625846737,"DIAG: {'Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver, traff'}"
1yf80jaff,-0.05622318972,"INT: {'Repair, skin of face using closure device (e.g. clip,  adhesive skin closure [Steri-Strips])'}"
m063,-0.0562229476,DIAG: {'Rheumatoid nodule'}
e164,-0.0562201921,DIAG: {'Abnormal secretion of gastrin'}
1ow13bagx,-0.05621754295,"INT: {'Control of bleeding, surgically constructed sites in digestive and biliary tract using endoscopic pe'}"
1pe80pf,-0.05615931386,"INT: {'Repair, renal pelvis open posterior [flank] approach using apposition technique (e.g. suturing)', 'Repair, renal pelvis open posterior [flank] approach Using apposition technique (e.g. suturing)'}"
g479,-0.0561417275,"DIAG: {'Sleep disorder, unspecified'}"
1oa59daaw,-0.05613182722,"INT: {'Destruction, liver endoscopic [laparoscopic] approach using radiofrequency'}"
m7922,-0.05608611838,"DIAG: {'Neuralgia and neuritis, unspecified, upper arm'}"
1jm57gqgx,-0.0560093993,"INT: {'Extraction, arteries of arm NEC using percutaneous transluminal approach and device NEC'}"
s52501,-0.05597830957,"DIAG: {""Colles' fracture, open""}"
k566,0.05597565255,DIAG: {'Other and unspecified intestinal obstruction'}
1hv90wjxxa,-0.05597471112,"INT: {'Excision total with reconstruction, aortic valve, replacement of valve, aortic root and ascending ao', 'Excision total with reconstruction, aortic valve replacement of valve, aortic root and ascending aor'}"
i718,-0.05597192943,"DIAG: {'Aortic aneurysm of unspecified site, ruptured'}"
f333,-0.05596799547,"DIAG: {'Recurrent depressive disorder, current episode severe with psychotic symptoms'}"
1an87segx,-0.05596425532,"INT: {'Excision partial, brain burr hole technique for access with device NEC'}"
w0504,-0.05587693992,DIAG: {'Fall involving shopping cart'}
x92,-0.05587375497,DIAG: {'Assault by drowning and submersion'}
d551,-0.05586474403,DIAG: {'Anaemia due to other disorders of glutathione metabolism'}
n171,-0.05585931939,DIAG: {'Acute renal failure with acute cortical necrosis'}
s02620,-0.05581749182,"DIAG: {'Fracture of temporomandibular joint, closed'}"
h448,-0.0558041047,DIAG: {'Other disorders of globe'}
h191,-0.05579664933,DIAG: {'Herpesviral keratitis and keratoconjunctivitis'}
o99502,-0.05578275255,"DIAG: {'Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium, delivered,'}"
1ef74lanw,-0.05575760048,"INT: {'Fixation, maxilla with mandible open approach no tissue used [device only] using plate, screw device'}"
1oe59baas,-0.05575212767,"INT: {'Destruction, bile ducts using endoscopic [retrograde cholangiography] per orifice approach [ERC] ele', 'Destruction, bile ducts using electrohydraulic device [probe] endoscopic [retrograde cholangiography'}"
s37391,-0.0557456923,"DIAG: {'Injury NOS of urethra, with open wound into cavity'}"
o71202,-0.05574401786,"DIAG: {'Postpartum inversion of uterus, delivered, with mention of postpartum complication'}"
1cj52ha,-0.05564571101,"INT: {'Drainage, anterior chamber (of eye) using needle aspiration [paracentesis]'}"
m4187,-0.05562320279,"DIAG: {'Other forms of scoliosis, lumbosacral region'}"
n0835,-0.05552319548,"DIAG: {'Glomerular disorders in diabetes mellitus, chronic kidney disease, stage 5'}"
v270,-0.05551396249,"DIAG: {'Motorcycle rider injured in collision with fixed or stationary object, driver, nontraffic accident'}"
1cu76lanr,-0.05550949608,"INT: {'Bypass, lacrimal excretory system dacryocystorhinostomy Open approach with insertion of stent'}"
1kx35hh1c,-0.05550184692,"INT: {'Pharmacotherapy (local), vein NEC percutaneous transcatheter approach using thrombolytic agent', 'Pharmacotherapy (local), vein NEC, percutaneous infusion approach using thrombolytic agent'}"
1si35hap1,-0.05549277735,"INT: {'Pharmacotherapy (local), sacroiliac joint using percutaneous needle injection of local anesthetic ag'}"
2rb71da,-0.05548541089,"INT: {'Biopsy, ovary using endoscopic approach'}"
1gk87da,-0.05546374645,"INT: {'Excision partial, thymus using endoscopic (percutaneous) approach'}"
u99010,-0.05545551132,DIAG: {'Baseball'}
1zz35ham9,0.05545116285,"INT: {'Pharmacotherapy, total body antineoplastic and immunomodulating agents percutaneous needle approach ', 'Pharmacotherapy, total body antineoplastic and immunomodulating agents percutaneous approach [intram'}"
i062,-0.05543670158,DIAG: {'Rheumatic aortic stenosis with insufficiency'}
y563,-0.05543076933,"DIAG: {'Emollients, demulcents and protectants causing adverse effect in therapeutic use'}"
c632,-0.05540339003,DIAG: {'Malignant neoplasm of scrotum'}
n899,-0.05536055476,"DIAG: {'Noninflammatory disorder of vagina, unspecified'}"
m519,-0.055356125,"DIAG: {'Intervertebral disc disorder, unspecified'}"
o99204,-0.0553531223,"DIAG: {'Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium,'}"
o71704,-0.0553334159,"DIAG: {'Obstetric haematoma of pelvis, postpartum condition or complication'}"
o75501,-0.0553303913,"DIAG: {'Delayed delivery after artificial rupture of membranes, delivered, with or without mention of antepa'}"
1qg87la,-0.05532355009,"INT: {'Excision partial, scrotum using open approach and no tissue'}"
1vg74lanwa,-0.05529968753,"INT: {'Fixation, knee joint open approach with bone autograft using screw, plate and screw', 'Fixation, knee joint open approach fixation device alone using screw, plate and screw'}"
p052,-0.05528203344,DIAG: {'Fetal malnutrition without mention of light or small for gestational age'}
o34103,-0.05528011476,"DIAG: {'Maternal care for tumour of corpus uteri, antepartum condition or complication'}"
1rm91aa,-0.05527003946,"INT: {'Excision radical, uterus and surrounding structures using combined laparoscopic and vaginal approach'}"
m361,-0.05526713408,DIAG: {'Arthropathy in neoplastic disease'}
m2423,-0.05526689272,"DIAG: {'Disorder of ligament, forearm'}"
2jx71gp,-0.05522485197,"INT: {'Biopsy, other vessels of head, neck and spine NEC using percutaneous transluminal approach'}"
m362,-0.05522359823,DIAG: {'Haemophilic arthropathy'}
5md56aa,-0.05521759518,"INT: {'Breech delivery, without episiotomy with spontaneous delivery of head spontaneous breech delivery'}"
o46801,-0.05520886752,"DIAG: {'Other antepartum haemorrhage, delivered, with or without mention of antepartum condition'}"
m6250,-0.05520411537,"DIAG: {'Muscle wasting and atrophy, not elsewhere classified, multiple sites'}"
2rn71cq,-0.05517848139,"INT: {'Biopsy, cervix using per orifice needle approach'}"
1sz55jahd,-0.05517716943,"INT: {'Removal of device, soft tissue of the chest and abdomen of wound drain using external approach'}"
z290,-0.05513925839,DIAG: {'Isolation'}
m4727,-0.05511403472,"DIAG: {'Other spondylosis with radiculopathy, lumbosacral region'}"
1vq55lak8,0.05507665669,"INT: {'Removal of device, tibia and fibula of antibacterial agent (e.g. gentamycin beads) using open approa'}"
t200,-0.05506304923,DIAG: {'Burn of unspecified degree of head and neck'}
o99602,-0.05504270154,"DIAG: {'Diseases of the digestive system complicating pregnancy, childbirth and the puerperium, delivered, w'}"
1qd89laff,-0.05503867379,"INT: {'Excision total, prepuce using open approach and closure device [e.g. Gomco clamp]'}"
c741,-0.05503410358,DIAG: {'Malignant neoplasm medulla adrenal gland'}
1pe52ha,-0.05501430708,"INT: {'Drainage, renal pelvis using needle aspiration'}"
m2330,-0.0549867588,"DIAG: {'Other meniscus derangements, multiple sites'}"
q602,-0.05498197609,"DIAG: {'Renal agenesis, unspecified'}"
h111,0.05496804452,DIAG: {'Conjunctival degenerations and deposits'}
